@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
2,2,3,1,20,2,11,6,0
2,2,2,1,21,1,15,4,0
3,3,3,1,22,1,15,6,0
1,1,1,1,9,0,5,4,0
1,1,1,1,10,0,4,5,0
4,4,6,1,19,0,15,3,0
1,1,1,1,6,0,4,2,0
1,1,1,1,8,0,3,5,0
1,1,1,1,8,0,7,0,0
3,3,5,1,18,0,12,6,0
1,1,2,1,13,0,7,5,0
1,1,1,1,7,0,3,4,0
1,1,1,1,8,0,3,5,0
1,1,1,1,10,0,5,4,0
3,3,4,1,18,1,15,1,0
7,7,8,1,45,3,38,4,0
2,2,3,1,20,4,16,0,0
2,2,2,1,17,0,9,7,0
1,1,1,1,10,0,3,7,0
4,4,4,3,32,0,15,17,0
1,1,1,1,15,0,7,8,0
2,2,2,2,23,0,13,10,0
3,3,3,2,27,1,16,10,0
3,3,3,2,26,1,16,9,0
1,1,1,1,17,0,11,5,0
2,2,2,2,22,0,12,10,0
2,2,2,1,13,0,8,4,0
2,2,3,1,21,2,13,5,0
2,2,3,1,18,0,13,5,0
1,1,1,1,10,0,5,4,0
1,1,2,1,12,0,7,5,0
2,2,3,1,16,0,9,6,0
2,2,3,1,15,0,10,4,0
1,1,1,1,14,1,8,4,0
2,2,3,1,20,1,12,6,0
2,2,2,1,17,0,10,6,0
2,2,2,1,12,0,7,5,0
1,1,1,1,8,0,3,5,0
2,2,2,1,18,0,12,5,0
1,1,1,1,13,0,7,5,0
0,0,0,0,0,0,0,0,0
3,3,4,1,17,0,17,0,0
1,1,2,1,12,1,6,4,0
1,1,1,1,8,0,5,3,0
1,1,1,1,6,0,5,1,0
1,1,1,1,7,0,4,3,0
1,1,1,1,11,0,5,4,0
1,1,1,1,10,0,5,4,0
1,1,1,1,10,0,5,4,0
1,1,1,1,12,0,5,6,0
1,1,1,1,13,0,5,7,1
1,1,1,1,12,0,5,6,0
1,1,1,1,13,0,6,6,0
1,1,1,1,12,0,5,6,0
1,1,1,1,13,0,6,7,0
1,1,1,1,12,0,5,6,0
1,1,1,1,12,0,5,6,0
1,1,1,1,11,0,5,6,0
1,1,1,1,12,0,5,6,0
2,2,2,1,16,1,8,7,0
1,1,1,1,13,0,6,6,0
1,1,1,1,13,0,5,6,0
1,1,1,1,10,0,5,5,1
5,5,6,2,33,2,24,7,0
2,2,2,1,23,3,12,9,0
0,0,0,0,0,0,0,0,0
1,1,1,1,10,0,3,7,0
4,4,4,1,29,1,20,7,0
3,3,3,2,38,6,18,14,0
3,3,4,1,26,5,14,6,0
1,1,1,1,9,0,3,5,0
1,1,1,1,8,0,3,5,0
2,2,3,1,21,2,11,7,0
3,1,3,1,22,3,11,7,0
